Day,Customer ID,Campaign ID,Campaign,Campaign state,Campaign serving status,Clicks,Start date,End date,Budget,Budget ID,Budget explicitly shared,Label IDs,Labels,Invalid clicks,Conversions,Conv. rate,CTR,Cost,Impressions,Search Lost IS (rank),Avg. position,Interaction Rate,Interactions
2016-11-01,12345678,987654,Used Cars,enabled,ended,10,2016-09-16,2016-12-16,50000000,929943534,false, --, --,1,4.0,40.00%,14.49%,54200000,69,2.92%,1.9,14.49%,10
2016-11-02,12345678,987654,Used Cars,enabled,ended,10,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,10.0,100.00%,10.53%,49790000,95,6.98%,1.6,10.53%,10
2016-11-03,12345678,987654,Used Cars,enabled,ended,10,2016-09-16,2016-12-16,50000000,929943534,false, --, --,1,25.0,"1,277.78%",7.41%,55190000,135,10.88%,1.7,7.41%,10
2016-11-04,12345678,987654,Used Cars,enabled,ended,8,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,6.0,75.00%,6.30%,51210000,127,8.56%,1.8,6.30%,8
2016-11-05,12345678,987654,Used Cars,enabled,ended,8,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,7.0,87.50%,4.42%,51380000,181,3.97%,1.9,4.42%,8
2016-11-06,12345678,987654,Used Cars,enabled,ended,10,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,3.0,30.00%,11.63%,51030000,86,3.31%,1.6,11.63%,10
2016-11-07,12345678,987654,Used Cars,enabled,ended,12,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,2.0,16.67%,9.84%,71580000,122,4.20%,1.7,9.84%,12
2016-11-08,12345678,987654,Used Cars,enabled,ended,10,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,1.0,10.00%,16.13%,46120000,62,2.33%,2.0,16.13%,10
2016-11-09,12345678,987654,Used Cars,enabled,ended,8,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,5.0,62.50%,9.76%,52760000,82,5.26%,1.7,9.76%,8
2016-11-10,12345678,987654,Used Cars,enabled,ended,6,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,4.0,66.67%,9.23%,42540000,65,7.62%,1.6,9.23%,6
2016-11-11,12345678,987654,Used Cars,enabled,ended,7,2016-09-16,2016-12-16,50000000,929943534,false, --, --,1,0.0,0.00%,6.14%,40700000,114,11.34%,1.8,6.14%,7
2016-11-12,12345678,987654,Used Cars,enabled,ended,9,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,2.0,22.22%,4.81%,45990000,187,5.62%,1.9,4.81%,9
2016-11-13,12345678,987654,Used Cars,enabled,ended,9,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,6.0,66.67%,6.00%,50390000,150,8.10%,1.7,6.00%,9
2016-11-14,12345678,987654,Used Cars,enabled,ended,8,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,3.0,37.50%,8.08%,46020000,99,3.77%,1.8,8.08%,8
2016-11-15,12345678,987654,Used Cars,enabled,ended,6,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,3.0,50.00%,10.00%,39590000,60,6.62%,2.1,10.00%,6
2016-11-16,12345678,987654,Used Cars,enabled,ended,6,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,0.0,0.00%,5.88%,36510000,102,6.52%,1.9,5.88%,6
2016-11-17,12345678,987654,Used Cars,enabled,ended,11,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,4.0,36.36%,9.32%,57660000,118,2.65%,1.8,9.32%,11
2016-11-18,12345678,987654,Used Cars,enabled,ended,10,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,8.0,80.00%,5.32%,53020000,188,9.24%,1.9,5.32%,10
2016-11-19,12345678,987654,Used Cars,enabled,ended,8,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,2.0,25.00%,6.56%,54490000,122,3.70%,1.7,6.56%,8
2016-11-20,12345678,987654,Used Cars,enabled,ended,9,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,3.0,33.33%,4.92%,53850000,183,2.54%,1.8,4.92%,9
2016-11-21,12345678,987654,Used Cars,enabled,ended,11,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,3.0,27.27%,7.80%,55230000,141,7.69%,1.7,7.80%,11
2016-11-22,12345678,987654,Used Cars,enabled,ended,9,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,1.0,11.11%,4.97%,54960000,181,6.43%,1.7,4.97%,9
2016-11-23,12345678,987654,Used Cars,enabled,ended,9,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,2.0,22.22%,5.06%,54820000,178,7.25%,1.8,5.06%,9
2016-11-24,12345678,987654,Used Cars,enabled,ended,9,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,2.0,22.22%,6.43%,55720000,140,5.43%,1.8,6.43%,9
2016-11-25,12345678,987654,Used Cars,enabled,ended,9,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,5.0,55.56%,7.09%,53040000,127,6.42%,1.8,7.09%,9
2016-11-26,12345678,987654,Used Cars,enabled,ended,9,2016-09-16,2016-12-16,50000000,929943534,false, --, --,3,1.0,12.50%,9.00%,53860000,100,7.38%,1.9,9.00%,9
2016-11-27,12345678,987654,Used Cars,enabled,ended,8,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,0.0,0.00%,4.26%,57810000,188,5.17%,1.7,4.26%,8
2016-11-28,12345678,987654,Used Cars,enabled,ended,13,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,4.0,30.77%,6.88%,58530000,189,7.56%,1.8,6.88%,13
2016-11-29,12345678,987654,Used Cars,enabled,ended,11,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,2.0,18.18%,6.75%,59610000,163,7.66%,1.9,6.75%,11
2016-11-30,12345678,987654,Used Cars,enabled,ended,10,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,3.0,30.00%,5.71%,55930000,175,6.05%,1.7,5.71%,10
2016-12-01,12345678,987654,Used Cars,enabled,ended,10,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,1.0,12.50%,5.56%,61230000,180,7.62%,2.0,5.56%,10
2016-12-02,12345678,987654,Used Cars,enabled,ended,11,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,3.0,27.27%,6.67%,62420000,165,5.12%,1.9,6.67%,11
2016-12-03,12345678,987654,Used Cars,enabled,ended,7,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,1.0,14.29%,7.53%,51910000,93,2.03%,1.6,7.53%,7
2016-12-04,12345678,987654,Used Cars,enabled,ended,12,2016-09-16,2016-12-16,50000000,929943534,false, --, --,2,1.0,8.33%,7.19%,56430000,167,2.21%,1.7,7.19%,12
2016-12-05,12345678,987654,Used Cars,enabled,ended,11,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,2.0,18.18%,5.45%,59260000,202,5.41%,1.7,5.45%,11
2016-12-06,12345678,987654,Used Cars,enabled,ended,8,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,8.0,100.00%,8.79%,58290000,91,5.07%,1.8,8.79%,8
2016-12-07,12345678,987654,Used Cars,enabled,ended,8,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,2.0,25.00%,5.88%,57490000,136,6.52%,1.7,5.88%,8
2016-12-08,12345678,987654,Used Cars,enabled,ended,8,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,0.0,0.00%,5.19%,56940000,154,4.02%,1.9,5.19%,8
2016-12-09,12345678,987654,Used Cars,enabled,ended,10,2016-09-16,2016-12-16,50000000,929943534,false, --, --,1,10.0,100.00%,5.00%,56700000,200,5.94%,1.8,5.00%,10
2016-12-10,12345678,987654,Used Cars,enabled,ended,10,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,1.0,10.00%,7.94%,54900000,126,2.48%,1.6,7.94%,10
2016-12-11,12345678,987654,Used Cars,enabled,ended,8,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,1.0,12.50%,8.42%,53720000,95,2.68%,1.8,8.42%,8
2016-12-12,12345678,987654,Used Cars,enabled,ended,7,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,9.0,128.57%,14.29%,46510000,49,1.05%,1.4,14.29%,7
2016-12-13,12345678,987654,Used Cars,enabled,ended,11,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,9.0,81.82%,5.05%,58550000,218,8.33%,1.7,5.05%,11
2016-12-14,12345678,987654,Used Cars,enabled,ended,9,2016-09-16,2016-12-16,50000000,929943534,false, --, --,1,22.0,244.44%,8.91%,54900000,101,5.71%,1.7,8.91%,9
2016-12-15,12345678,987654,Used Cars,enabled,ended,6,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,2.0,33.33%,2.96%,31880000,203,8.23%,2.0,2.96%,6
2016-12-16,12345678,987654,Used Cars,enabled,ended,3,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,7.0,233.33%,4.92%,20630000,61,4.55%,1.9,4.92%,3
2016-10-16,12345678,987654,Used Cars,enabled,ended,7,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,5.0,71.43%,15.56%,56130000,45,6.56%,2.3,15.56%,7
2016-10-17,12345678,987654,Used Cars,enabled,ended,10,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,6.0,60.00%,5.46%,64140000,183,10.21%,1.9,5.46%,10
2016-10-18,12345678,987654,Used Cars,enabled,ended,7,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,5.0,71.43%,10.94%,50300000,64,5.49%,1.8,10.94%,7
2016-10-19,12345678,987654,Used Cars,enabled,ended,8,2016-09-16,2016-12-16,50000000,929943534,false, --, --,1,0.0,0.00%,5.76%,49830000,139,11.06%,1.8,5.76%,8
2016-10-20,12345678,987654,Used Cars,enabled,ended,8,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,0.0,0.00%,5.37%,52480000,149,12.55%,1.8,5.37%,8
2016-10-21,12345678,987654,Used Cars,enabled,ended,9,2016-09-16,2016-12-16,50000000,929943534,false, --, --,1,5.0,55.56%,8.18%,53460000,110,8.49%,1.7,8.18%,9
2016-10-22,12345678,987654,Used Cars,enabled,ended,6,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,0.0,0.00%,4.17%,51510000,144,9.22%,1.8,4.17%,6
2016-10-23,12345678,987654,Used Cars,enabled,ended,8,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,3.0,37.50%,8.51%,49560000,94,1.89%,1.7,8.51%,8
2016-10-24,12345678,987654,Used Cars,enabled,ended,9,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,5.0,55.56%,12.86%,54760000,70,4.90%,1.9,12.86%,9
2016-10-25,12345678,987654,Used Cars,enabled,ended,10,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,0.0,0.00%,8.33%,54290000,120,6.70%,1.7,8.33%,10
2016-10-26,12345678,987654,Used Cars,enabled,ended,10,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,7.0,70.00%,8.62%,53830000,116,15.79%,1.8,8.62%,10
2016-10-27,12345678,987654,Used Cars,enabled,ended,9,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,2.0,22.22%,6.38%,53210000,141,3.33%,1.9,6.38%,9
2016-10-28,12345678,987654,Used Cars,enabled,ended,9,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,1.0,11.11%,8.91%,51590000,101,5.23%,2.0,8.91%,9
2016-10-29,12345678,987654,Used Cars,enabled,ended,10,2016-09-16,2016-12-16,50000000,929943534,false, --, --,1,8.0,80.00%,10.87%,45870000,92,6.02%,1.8,10.87%,10
2016-10-30,12345678,987654,Used Cars,enabled,ended,8,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,2.0,25.00%,7.14%,50240000,112,12.15%,1.7,7.14%,8
2016-10-31,12345678,987654,Used Cars,enabled,ended,9,2016-09-16,2016-12-16,50000000,929943534,false, --, --,0,2.0,22.22%,4.95%,45910000,182,17.98%,2.4,4.95%,9
